,Date,News_Source,Tweet_Number,compound,neg,neu,pos
374,2017-12-08,@FoxNews,26,0.0,0.0,1.0,0.0
375,2017-12-08,@FoxNews,25,0.5267,0.0,0.793,0.207
376,2017-12-08,@FoxNews,24,0.8442,0.0,0.637,0.363
377,2017-12-08,@FoxNews,23,-0.6705,0.216,0.784,0.0
378,2017-12-08,@FoxNews,22,0.0,0.0,1.0,0.0
379,2017-12-08,@FoxNews,21,0.0,0.0,1.0,0.0
380,2017-12-08,@FoxNews,20,-0.9274,0.583,0.417,0.0
381,2017-12-08,@FoxNews,19,0.4927,0.0,0.824,0.176
382,2017-12-08,@FoxNews,18,0.3612,0.0,0.878,0.122
383,2017-12-08,@FoxNews,17,-0.4404,0.367,0.633,0.0
384,2017-12-08,@FoxNews,16,-0.4588,0.167,0.833,0.0
385,2017-12-08,@FoxNews,15,0.0,0.0,1.0,0.0
386,2017-12-08,@FoxNews,14,-0.4767,0.237,0.763,0.0
387,2017-12-08,@FoxNews,13,-0.4404,0.153,0.847,0.0
388,2017-12-08,@FoxNews,12,0.0,0.0,1.0,0.0
389,2017-12-08,@FoxNews,11,0.6597,0.0,0.759,0.241
390,2017-12-08,@FoxNews,10,0.0,0.0,1.0,0.0
391,2017-12-08,@FoxNews,9,0.0,0.0,1.0,0.0
392,2017-12-08,@FoxNews,8,-0.9274,0.583,0.417,0.0
393,2017-12-08,@FoxNews,7,-0.6124,0.25,0.75,0.0
394,2017-12-08,@FoxNews,6,0.0,0.0,1.0,0.0
395,2017-12-08,@FoxNews,5,0.4927,0.0,0.824,0.176
396,2017-12-08,@FoxNews,4,0.2235,0.0,0.905,0.095
397,2017-12-08,@FoxNews,3,0.0,0.0,1.0,0.0
398,2017-12-08,@FoxNews,2,-0.0258,0.18,0.687,0.133
399,2017-12-08,@FoxNews,1,0.836,0.0,0.669,0.331
400,2017-12-09,@nytimes,100,0.6652,0.218,0.475,0.307
401,2017-12-09,@nytimes,99,-0.5408,0.233,0.66,0.107
402,2017-12-09,@nytimes,98,0.0,0.0,1.0,0.0
403,2017-12-09,@nytimes,97,0.5719,0.0,0.856,0.144
404,2017-12-09,@nytimes,96,0.6369,0.0,0.802,0.198
405,2017-12-08,@nytimes,95,0.0,0.0,1.0,0.0
406,2017-12-08,@nytimes,94,-0.5994,0.178,0.822,0.0
407,2017-12-08,@nytimes,93,0.0,0.0,1.0,0.0
408,2017-12-08,@nytimes,92,-0.296,0.128,0.872,0.0
409,2017-12-08,@nytimes,91,-0.34,0.194,0.806,0.0
410,2017-12-08,@nytimes,90,0.0,0.0,1.0,0.0
411,2017-12-08,@nytimes,89,0.0,0.0,1.0,0.0
412,2017-12-08,@nytimes,88,-0.4939,0.148,0.774,0.077
